ID,mandal_ID,field_ID,requirement,sequence,custom_label,createdAt,createdBy,modifiedAt,modifiedBy
13165538-4283-42ad-b439-9fca89617f24,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,17,Native Place,2022-07-18T18:30:00.000Z,system,2023-11-22T18:30:00.000Z,system
13165539-368a-4a2d-90fd-779a8050e116,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,hidden,18,Skills,2023-05-13T18:30:00.000Z,system,2024-04-06T18:30:00.000Z,system
13165540-3425-4087-a77c-effd4dec8bf6,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,hidden,19,Hobbies,2022-12-03T18:30:00.000Z,system,2024-09-23T18:30:00.000Z,system
13165541-7592-467e-be61-9bc1896419b8,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,20,Medical Conditions,2023-11-07T18:30:00.000Z,system,2023-11-10T18:30:00.000Z,system
13165542-b1c5-469d-a796-e07962edbfc4,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,hidden,21,Annual Income,2023-12-12T18:30:00.000Z,system,2024-08-21T18:30:00.000Z,system
13165543-a853-4626-a717-61ac454baa6d,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,22,Emergency Contact,2022-06-06T18:30:00.000Z,system,2024-08-02T18:30:00.000Z,system
13165544-9560-4866-bd24-df51c8330a10,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,23,Emergency Phone,2023-08-04T18:30:00.000Z,system,2024-01-09T18:30:00.000Z,system
13165545-8236-4c8e-b2c7-2287bac01e3e,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,24,Dietary Preference,2022-11-20T18:30:00.000Z,system,2024-03-14T18:30:00.000Z,system
13165546-9b0c-466c-97bc-b9b299c8e3cb,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,25,Marital Status,2022-06-22T18:30:00.000Z,system,2023-01-05T18:30:00.000Z,system
13165547-8b1b-4492-8234-a5afd87c720c,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,26,Email Address,2022-11-17T18:30:00.000Z,system,2023-09-10T18:30:00.000Z,system
13165548-b411-49c0-8c9e-309c87955985,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,27,Full Name,2022-08-15T18:30:00.000Z,system,2024-12-30T18:30:00.000Z,system
13165549-fbda-4253-a983-39b5d33ca790,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,28,Phone Number,2023-10-19T18:30:00.000Z,system,2024-03-22T18:30:00.000Z,system
13165550-c152-41b3-8eac-7ff33888e8c5,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,29,Date of Birth,2022-10-11T18:30:00.000Z,system,2024-01-04T18:30:00.000Z,system
13165551-583b-4a89-87f4-e714b7282732,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,30,Gender,2022-05-18T18:30:00.000Z,system,2024-11-26T18:30:00.000Z,system
13165552-ccf9-47b5-9aa8-e01b41812887,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,31,Address,2022-12-06T18:30:00.000Z,system,2024-05-06T18:30:00.000Z,system
13165553-68e8-4e02-98cc-adb665f54ee8,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,32,City,2023-04-19T18:30:00.000Z,system,2024-04-01T18:30:00.000Z,system
13165554-e85f-406d-a3f2-ea46da6b4e7c,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,required,33,State,2023-01-03T18:30:00.000Z,system,2023-11-09T18:30:00.000Z,system
13165555-4e74-43c0-970a-1d4db36eb965,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,required,34,Pincode,2023-05-14T18:30:00.000Z,system,2024-07-18T18:30:00.000Z,system
13165556-67a2-40f4-b396-a2c491a8350b,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,35,Blood Group,2022-04-22T18:30:00.000Z,system,2023-06-29T18:30:00.000Z,system
13165557-b2ec-4c49-b7b9-da6880a5b494,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,36,Education,2023-10-24T18:30:00.000Z,system,2024-09-13T18:30:00.000Z,system
13165558-49bd-4d8c-a83a-90f310b063c8,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,37,Profession,2022-03-25T18:30:00.000Z,system,2023-10-15T18:30:00.000Z,system
13165559-1530-4d20-a136-bc8ccc524b49,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,38,Gotra,2022-05-24T18:30:00.000Z,system,2024-07-05T18:30:00.000Z,system
13165560-818c-4ff0-b0e8-c0b8af4a3d18,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,hidden,39,Nakshatra,2022-07-21T18:30:00.000Z,system,2023-09-27T18:30:00.000Z,system
13165561-6e52-48cb-af60-b390e7adb252,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,hidden,40,Rashi,2023-10-04T18:30:00.000Z,system,2023-03-20T18:30:00.000Z,system
13165562-e43c-498c-bc33-0727ead20b8b,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,41,Kuldevi,2022-03-19T18:30:00.000Z,system,2023-01-20T18:30:00.000Z,system
13165563-1bc8-43ff-b24c-7a5a8d4cfdbf,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,42,Native Place,2023-06-04T18:30:00.000Z,system,2024-10-08T18:30:00.000Z,system
13165564-0c13-4ee8-baf3-e69d65e833e6,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,hidden,43,Skills,2022-02-01T18:30:00.000Z,system,2024-08-18T18:30:00.000Z,system
13165565-bbd1-4519-ab1b-156b7e19d7fc,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,hidden,44,Hobbies,2023-08-16T18:30:00.000Z,system,2024-02-19T18:30:00.000Z,system
13165566-c17f-41cf-908f-adde230c06bb,3677078a-98cb-4d73-b193-55fc664d5131,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,45,Medical Conditions,2023-08-28T18:30:00.000Z,system,2023-08-06T18:30:00.000Z,system
13165567-8f29-4b09-b260-de96dd43f0aa,27036764-62df-458f-b580-6e512cf5b9c7,11807936-67d3-4f27-b2aa-1bbdbd16d464,hidden,46,Annual Income,2022-02-07T18:30:00.000Z,system,2024-07-18T18:30:00.000Z,system
13165568-937f-47c4-9bfa-541ccb7b3eae,36770777-0a4d-45b0-89d4-6191567a75c5,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,47,Emergency Contact,2022-09-24T18:30:00.000Z,system,2024-07-10T18:30:00.000Z,system
13165569-da45-4e6a-b722-344aa25e375b,3677078a-98cb-4d73-b193-55fc664d5131,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,48,Emergency Phone,2023-07-07T18:30:00.000Z,system,2024-04-28T18:30:00.000Z,system
13165570-a643-46c3-b4a1-d31fa5c60ccd,27036764-62df-458f-b580-6e512cf5b9c7,11807935-01ea-4f19-8aea-b5b97a2db3ee,optional,49,Dietary Preference,2023-11-01T18:30:00.000Z,system,2023-06-02T18:30:00.000Z,system
13165571-b4b2-40ca-953c-186edde09654,36770777-0a4d-45b0-89d4-6191567a75c5,11807936-67d3-4f27-b2aa-1bbdbd16d464,optional,50,Marital Status,2023-01-10T18:30:00.000Z,system,2024-02-06T18:30:00.000Z,system
